,interaction_id,interaction_type,id_bacterium,acc_bacterium,bact_strain,bact_specie,bact_genus,id_phage,acc_phage,phage_name
1123,10868,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5958,NA,Mycobacterium_phage_Napoleon13
1124,10869,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5959,JN699627,Mycobacterium_phage_Nappy
1125,10870,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5960,KU297783,Mycobacterium_phage_NaSiaTalie
1126,10871,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,5961,MF189174,Arthrobacter_phage_Nason
1127,10879,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5963,KX641262,Mycobacterium_phage_Nazo
1128,10880,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5964,NA,Mycobacterium_phage_NearlyHeadless
1129,10881,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5965,NA,Mycobacterium_phage_Nebkiss
1130,10882,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5966,NA,Mycobacterium_phage_NEHalo
1131,10883,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5967,KT222941,Mycobacterium_phage_NelitzaMV
1132,10884,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,5968,MF668279,Arthrobacter_phage_Nellie
1133,10885,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5969,NA,Mycobacterium_phage_Nemo27
1134,10886,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5970,NA,Mycobacterium_phage_Nenae
1135,10887,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,5971,NA,Gordonia_phage_Neoevie
1136,10889,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5973,KR080201,Mycobacterium_phage_Nerujay
1137,10890,1,4657,NZ_APVM00000000.1,1326,Streptomyces lividans,Streptomyces,5974,NA,Streptomyces_phage_Nesbitt
1138,10891,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5975,KC691258,Mycobacterium_phage_Newman
1139,10892,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5976,KR997934,Mycobacterium_phage_Nhonho
1140,10893,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5977,NA,Mycobacterium_phage_Nibb
1141,10894,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5978,MF140421,Mycobacterium_phage_Nicholas
1142,10895,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5979,MF140422,Mycobacterium_phage_Nicholasp3
1143,10896,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5980,NA,Mycobacterium_phage_Nicolasphaqe
1144,10897,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5981,NA,Mycobacterium_phage_NicoleTera
1145,10898,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5982,NA,Mycobacterium_phage_Nidhogg
