,interaction_id,interaction_type,id_bacterium,acc_bacterium,bact_strain,bact_specie,bact_genus,id_phage,acc_phage,phage_name
1273,11180,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6129,KT279576,Mycobacterium_phage_Phatniss
1274,11181,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6130,KC748969,Mycobacterium_phage_Phaux
1275,11182,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6131,KR080195,Mycobacterium_phage_Phayonce
1276,11183,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6132,KF416341,Mycobacterium_phage_Phelemich
1277,11184,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6133,MF324909,Mycobacterium_phage_PhelpsODU
1278,11185,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,6134,NA,Gordonia_phage_Phendrix
1279,11186,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6135,NA,Mycobacterium_phage_PhenghisKhan
1280,11187,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6136,NA,Mycobacterium_phage_Phergie
1281,11188,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6137,NA,Mycobacterium_phage_PherrisBueller
1282,11197,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6148,NA,Mycobacterium_phage_Phighter1804
1283,11199,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6150,MG099948,Mycobacterium_phage_Philonius
1284,11200,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,6151,KU963253,Gordonia_phage_Phinally
1285,11201,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6152,NA,Mycobacterium_phage_Phineas
1286,11202,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6153,JF704102,Mycobacterium_phage_Phipps
1287,11204,1,6155,NC_003155.5,MA-4680,Streptomyces avermitilis,Streptomyces,6156,NA,Streptomyces_phage_phiSAV
