organism_ptr_id,designation,baltimore_classification_id
2099,Gordonia_phage_BatStarr,NULL
2100,Mycobacterium_phage_BatteryCK,NULL
2101,Streptomyces_phage_BayC,NULL
2102,Arthrobacter_phage_Beans,NULL
2103,Mycobacterium_phage_BeanWater,NULL
2104,Mycobacterium_phage_Beatrix,NULL
2105,Arthrobacter_phage_BeatusComedenti,NULL
2106,Mycobacterium_phage_Beauxregard13,NULL
2107,Gordonia_phage_Beenie,NULL
2108,Mycobacterium_phage_BeesKnees,NULL
2109,Mycobacterium_phage_BEEST,NULL
2110,Mycobacterium_phage_Beezoo,NULL
2111,Rhodococcus_phage_Belenaria,NULL
2112,Mycobacterium_phage_Bella96,NULL
2113,Mycobacterium_phage_Belladonna,NULL
2114,Gordonia_phage_Benczkowski14,NULL
2115,Mycobacterium_phage_Benedict,NULL
2116,Arthrobacter_phage_Bennie,NULL
2117,Gordonia_phage_BENtherdunthat,NULL
2118,Mycobacterium_phage_Bethlehem,NULL
2119,Gordonia_phage_Beyoncage,NULL
2120,Gordonia_phage_Bialota,NULL
2121,Mycobacterium_phage_BiancaTri92,NULL
2122,Gordonia_phage_Bibwit,NULL
2123,Mycobacterium_phage_Big3,NULL
2124,Mycobacterium_phage_BigCheese,NULL
2125,Mycobacterium_phage_Bigfoot,NULL
2126,Mycobacterium_phage_Biglebops,NULL
2127,Arthrobacter_phage_BigMack,NULL
2128,Mycobacterium_phage_BigMama,NULL
2129,Mycobacterium_phage_BigPhil,NULL
2130,Mycobacterium_phage_Bigswole,NULL
2131,Mycobacterium_phage_BillKnuckles,NULL
2132,Streptomyces_phage_Bing,NULL
2133,Streptomyces_phage_Bioscum,NULL
2134,Gordonia_phage_BiPauneto,NULL
2135,Mycobacterium_phage_Bipolarisk,NULL
2136,Streptomyces_phage_Birchlyn,NULL
2137,Mycobacterium_phage_Bircsak,NULL
2138,Gordonia_phage_BirksAndSocks,NULL
2139,Gordonia_phage_Bjanes7,NULL
2140,Mycobacterium_phage_Blackbeetle,NULL
2141,Mycobacterium_phage_Blackmoor,NULL
2142,Mycobacterium_phage_BlackStallion,NULL
2143,Arthrobacter_phage_Blair,NULL
2144,Mycobacterium_phage_Blue,NULL
2145,Streptomyces_phage_Blueeyedbeauty,NULL
2146,Mycobacterium_phage_Bob3,NULL
2147,Mycobacterium_phage_BobaPhett,NULL
2148,Mycobacterium_phage_Bobby,NULL
2149,Rhodococcus_phage_BobbyDazzler,NULL
2150,Mycobacterium_phage_BobsGarage,NULL
2151,Mycobacterium_phage_BobSwaget,NULL
2152,Gordonia_phage_Bock,NULL
2153,Arthrobacter_phage_Boersma,NULL
2154,Mycobacterium_phage_Bogie,NULL
2155,Rhodococcus_phage_Bonanza,NULL
2156,Gordonia_phage_Boneham,NULL
2157,Mycobacterium_phage_Bongo,NULL
2158,Mycobacterium_phage_Boomer,NULL
2159,Arthrobacter_phage_BossLady,NULL
2160,Streptomyces_phage_Bovely,NULL
2161,Mycobacterium_phage_Bowtie,NULL
2162,Mycobacterium_phage_Boyle,NULL
2163,Mycobacterium_phage_BPBiebs31,NULL
2164,Mycobacterium_phage_BPs,NULL
2165,Mycobacterium_phage_BQuat,NULL
2166,Arthrobacter_phage_Brad,NULL
2167,Rhodococcus_phage_Bradshaw,NULL
2168,Gordonia_phage_Brandonk123,NULL
2169,Streptomyces_phage_Brataylor,NULL
2170,Mycobacterium_phage_Breezona,NULL
2171,Arthrobacter_phage_Brent,NULL
2172,Arthrobacter_phage_Breylor17,NULL
